id,text,category,intent_hint,created_at
CS-00001,Login keeps failing with an 'invalid credentials' message on my laptop and phone.,Account Access,change_email,2025-08-26 09:10:26.355576
CS-00002,Why does my session keep expiring so fast? asap please.,Account Access,login,2025-08-26 09:10:26.355576
CS-00003,Pages won't load—could it be a DNS problem? — please advise.,Technical Issue,latency,2025-08-26 09:10:26.355576
CS-00004,how do i update my card details? on my laptop and phone.,Billing,double_charge,2025-08-26 09:10:26.355576
CS-00005,My promo code didn't apply at checkout — please advise.,Billing,refund,2025-08-26 09:10:26.355576
CS-00006,Experiencing packet loss while gaming on my laptop and phone.,Technical Issue,error_code,2025-08-26 09:10:26.355576
CS-00007,Do you offer a student discount? — any quick fix?,General Inquiry,plans_prices,2025-08-26 09:10:26.355576
CS-00008,How do I change my plan without extra charges? this week?,Billing,update_card,2025-08-26 09:10:26.355576
CS-00009,Pages won't load—could it be a DNS problem? asap please?,Technical Issue,outage_area,2025-08-26 09:10:26.355576
CS-00010,I need to reactivate my account since this morning.,Account Access,change_email,2025-08-26 09:10:26.355576
CS-00011,I got locked out after too many attempts — please advise.,Account Access,update_phone,2025-08-26 09:10:26.355576
CS-00012,How do I update the router firmware? since this morning?,Technical Issue,error_code,2025-08-26 09:10:26.355576
CS-00013,Can you provide a credit note for the overcharge? today.,Billing,refund,2025-08-26 09:10:26.355576
CS-00014,How long does installation usually take? today?,General Inquiry,installation,2025-08-26 09:10:26.355576
CS-00015,Experiencing packet loss while gaming on my laptop and phone?,Technical Issue,dns_issue,2025-08-26 09:10:26.355576
CS-00016,High latency during video calls since yesterday on my laptop and phone.,Technical Issue,port_blocked,2025-08-26 09:10:26.355576
CS-00017,Which features are included in the standard plan? today.,General Inquiry,international_roaming,2025-08-26 09:10:26.355576
CS-00018,Certain ports appear to be blocked on my network thanks.,Technical Issue,internet_down,2025-08-26 09:10:26.355576
CS-00019,Do you have coverage in Gold Coast? for my account.,General Inquiry,installation,2025-08-26 09:10:26.355576
CS-00020,My phone number isn't working and I can't sign in asap please.,Account Access,session_timeout,2025-08-26 09:10:26.355576
